dag_id,method,family,nodes,edges,makespan,critical_path_lb,combined_lb,slr,gap_to_lb_percent,runtime_ms,diff_vs_heft_percent
0,HEFT,WS,30,43,146.0,114.0,114.0,1.280701754385965,21.91780821917808,0.0,0.0
1,HEFT,WS,20,32,113.0,86.0,86.0,1.313953488372093,23.893805309734514,0.0,0.0
2,HEFT,WS,30,42,131.0,72.0,108.0,1.8194444444444444,17.557251908396946,8.550167083740234,0.0
3,HEFT,BA,20,29,148.0,116.0,116.0,1.2758620689655173,21.62162162162162,0.0,0.0
4,HEFT,BA,30,29,122.0,64.0,102.75,1.90625,15.778688524590164,1.5590190887451172,0.0
5,HEFT,MOTIF_DIAMOND,6,6,58.0,50.0,50.0,1.16,13.793103448275861,0.8933544158935547,0.0
6,HEFT,ER,50,160,225.0,165.0,175.75,1.3636363636363635,21.88888888888889,0.6315708160400391,0.0
7,HEFT,WS,30,41,139.0,108.0,108.0,1.287037037037037,22.302158273381295,0.0,0.0
8,HEFT,ER,30,85,176.0,146.0,146.0,1.2054794520547945,17.045454545454543,0.0,0.0
9,HEFT,BA,20,19,86.0,57.0,62.5,1.5087719298245614,27.325581395348834,0.0,0.0
10,HEFT,BA,20,19,110.0,90.0,90.0,1.2222222222222223,18.181818181818183,0.0,0.0
11,HEFT,ER,20,30,118.0,99.0,99.0,1.1919191919191918,16.101694915254235,6.70623779296875,0.0
0,CPOP,WS,30,43,190.0,114.0,114.0,1.6666666666666667,40.0,0.8919239044189453,-30.136986301369863
1,CPOP,WS,20,32,131.0,86.0,86.0,1.5232558139534884,34.35114503816794,0.0,-15.929203539823009
2,CPOP,WS,30,42,132.0,72.0,108.0,1.8333333333333333,18.181818181818183,0.0,-0.7633587786259541
3,CPOP,BA,20,29,171.0,116.0,116.0,1.4741379310344827,32.16374269005848,0.0,-15.54054054054054
4,CPOP,BA,30,29,137.0,64.0,102.75,2.140625,25.0,0.0,-12.295081967213115
5,CPOP,MOTIF_DIAMOND,6,6,59.0,50.0,50.0,1.18,15.254237288135593,0.0,-1.7241379310344827
6,CPOP,ER,50,160,284.0,165.0,175.75,1.7212121212121212,38.11619718309859,8.63504409790039,-26.222222222222225
7,CPOP,WS,30,41,185.0,108.0,108.0,1.712962962962963,41.62162162162162,1.4977455139160156,-33.093525179856115
8,CPOP,ER,30,85,215.0,146.0,146.0,1.4726027397260273,32.093023255813954,0.0,-22.15909090909091
9,CPOP,BA,20,19,111.0,57.0,62.5,1.9473684210526316,43.69369369369369,0.0,-29.069767441860467
10,CPOP,BA,20,19,146.0,90.0,90.0,1.6222222222222222,38.35616438356164,0.0,-32.72727272727273
11,CPOP,ER,20,30,115.0,99.0,99.0,1.1616161616161615,13.91304347826087,0.0,2.5423728813559325
0,Greedy-EFT,WS,30,43,149.0,114.0,114.0,1.3070175438596492,23.48993288590604,0.0,-2.054794520547945
1,Greedy-EFT,WS,20,32,123.0,86.0,86.0,1.430232558139535,30.081300813008134,0.0,-8.849557522123893
2,Greedy-EFT,WS,30,42,143.0,72.0,108.0,1.9861111111111112,24.475524475524477,0.9961128234863281,-9.16030534351145
3,Greedy-EFT,BA,20,29,155.0,116.0,116.0,1.3362068965517242,25.161290322580644,0.0,-4.72972972972973
4,Greedy-EFT,BA,30,29,134.0,64.0,102.75,2.09375,23.32089552238806,0.0,-9.836065573770492
5,Greedy-EFT,MOTIF_DIAMOND,6,6,58.0,50.0,50.0,1.16,13.793103448275861,0.0,0.0
6,Greedy-EFT,ER,50,160,270.0,165.0,175.75,1.6363636363636365,34.90740740740741,6.260871887207031,-20.0
7,Greedy-EFT,WS,30,41,171.0,108.0,108.0,1.5833333333333333,36.84210526315789,1.0137557983398438,-23.021582733812952
8,Greedy-EFT,ER,30,85,216.0,146.0,146.0,1.4794520547945205,32.407407407407405,1.016855239868164,-22.727272727272727
9,Greedy-EFT,BA,20,19,85.0,57.0,62.5,1.4912280701754386,26.47058823529412,0.0,1.1627906976744187
10,Greedy-EFT,BA,20,19,122.0,90.0,90.0,1.3555555555555556,26.229508196721312,0.0,-10.909090909090908
11,Greedy-EFT,ER,20,30,122.0,99.0,99.0,1.2323232323232323,18.852459016393443,0.0,-3.389830508474576
0,LLM-Heuristic,WS,30,43,148.0,114.0,114.0,1.2982456140350878,22.972972972972975,3.699064254760742,-1.36986301369863
1,LLM-Heuristic,WS,20,32,130.0,86.0,86.0,1.5116279069767442,33.84615384615385,0.0,-15.04424778761062
2,LLM-Heuristic,WS,30,42,142.0,72.0,108.0,1.9722222222222223,23.943661971830984,4.57000732421875,-8.396946564885496
3,LLM-Heuristic,BA,20,29,150.0,116.0,116.0,1.293103448275862,22.666666666666664,3.2057762145996094,-1.3513513513513513
4,LLM-Heuristic,BA,30,29,125.0,64.0,102.75,1.953125,17.8,2.028942108154297,-2.459016393442623
5,LLM-Heuristic,MOTIF_DIAMOND,6,6,58.0,50.0,50.0,1.16,13.793103448275861,1.2729167938232422,0.0
6,LLM-Heuristic,ER,50,160,257.0,165.0,175.75,1.5575757575757576,31.614785992217897,2.555370330810547,-14.222222222222221
7,LLM-Heuristic,WS,30,41,154.0,108.0,108.0,1.4259259259259258,29.87012987012987,2.5854110717773438,-10.79136690647482
8,LLM-Heuristic,ER,30,85,177.0,146.0,146.0,1.2123287671232876,17.51412429378531,3.8950443267822266,-0.5681818181818182
9,LLM-Heuristic,BA,20,19,93.0,57.0,62.5,1.631578947368421,32.795698924731184,2.6175975799560547,-8.13953488372093
10,LLM-Heuristic,BA,20,19,119.0,90.0,90.0,1.3222222222222222,24.369747899159663,1.4994144439697266,-8.181818181818182
11,LLM-Heuristic,ER,20,30,115.0,99.0,99.0,1.1616161616161615,13.91304347826087,1.4994144439697266,2.5423728813559325
0,BO-Warm-Heuristic,WS,30,43,158.0,114.0,114.0,1.3859649122807018,27.848101265822784,3.1082630157470703,-8.21917808219178
1,BO-Warm-Heuristic,WS,20,32,114.0,86.0,86.0,1.3255813953488371,24.561403508771928,2.098560333251953,-0.8849557522123894
2,BO-Warm-Heuristic,WS,30,42,136.0,72.0,108.0,1.8888888888888888,20.588235294117645,2.5413036346435547,-3.816793893129771
3,BO-Warm-Heuristic,BA,20,29,150.0,116.0,116.0,1.293103448275862,22.666666666666664,1.5549659729003906,-1.3513513513513513
4,BO-Warm-Heuristic,BA,30,29,123.0,64.0,102.75,1.921875,16.463414634146343,3.857135772705078,-0.819672131147541
5,BO-Warm-Heuristic,MOTIF_DIAMOND,6,6,59.0,50.0,50.0,1.18,15.254237288135593,0.0,-1.7241379310344827
6,BO-Warm-Heuristic,ER,50,160,232.0,165.0,175.75,1.406060606060606,24.245689655172413,6.198883056640625,-3.111111111111111
7,BO-Warm-Heuristic,WS,30,41,147.0,108.0,108.0,1.3611111111111112,26.53061224489796,3.1468868255615234,-5.755395683453238
8,BO-Warm-Heuristic,ER,30,85,176.0,146.0,146.0,1.2054794520547945,17.045454545454543,2.059459686279297,0.0
9,BO-Warm-Heuristic,BA,20,19,85.0,57.0,62.5,1.4912280701754386,26.47058823529412,4.64630126953125,1.1627906976744187
10,BO-Warm-Heuristic,BA,20,19,117.0,90.0,90.0,1.3,23.076923076923077,1.9741058349609375,-6.363636363636363
11,BO-Warm-Heuristic,ER,20,30,115.0,99.0,99.0,1.1616161616161615,13.91304347826087,1.9621849060058594,2.5423728813559325
0,BO-Cold-Heuristic,WS,30,43,149.0,114.0,114.0,1.3070175438596492,23.48993288590604,0.0,-2.054794520547945
1,BO-Cold-Heuristic,WS,20,32,109.0,86.0,86.0,1.2674418604651163,21.100917431192663,3.7517547607421875,3.5398230088495577
2,BO-Cold-Heuristic,WS,30,42,131.0,72.0,108.0,1.8194444444444444,17.557251908396946,1.5268325805664062,0.0
3,BO-Cold-Heuristic,BA,20,29,149.0,116.0,116.0,1.2844827586206897,22.14765100671141,0.0,-0.6756756756756757
4,BO-Cold-Heuristic,BA,30,29,128.0,64.0,102.75,2.0,19.7265625,0.0,-4.918032786885246
5,BO-Cold-Heuristic,MOTIF_DIAMOND,6,6,59.0,50.0,50.0,1.18,15.254237288135593,5.5694580078125,-1.7241379310344827
6,BO-Cold-Heuristic,ER,50,160,242.0,165.0,175.75,1.4666666666666666,27.37603305785124,4.921913146972656,-7.555555555555555
7,BO-Cold-Heuristic,WS,30,41,147.0,108.0,108.0,1.3611111111111112,26.53061224489796,3.9904117584228516,-5.755395683453238
8,BO-Cold-Heuristic,ER,30,85,185.0,146.0,146.0,1.2671232876712328,21.08108108108108,3.407716751098633,-5.113636363636364
9,BO-Cold-Heuristic,BA,20,19,85.0,57.0,62.5,1.4912280701754386,26.47058823529412,1.5437602996826172,1.1627906976744187
10,BO-Cold-Heuristic,BA,20,19,116.0,90.0,90.0,1.288888888888889,22.413793103448278,0.0,-5.454545454545454
11,BO-Cold-Heuristic,ER,20,30,120.0,99.0,99.0,1.2121212121212122,17.5,3.9653778076171875,-1.694915254237288
0,GA-Train,WS,30,43,146.0,114.0,114.0,1.280701754385965,21.91780821917808,0.5536079406738281,0.0
1,GA-Train,WS,20,32,114.0,86.0,86.0,1.3255813953488371,24.561403508771928,4.297733306884766,-0.8849557522123894
2,GA-Train,WS,30,42,129.0,72.0,108.0,1.7916666666666667,16.27906976744186,2.2246837615966797,1.5267175572519083
3,GA-Train,BA,20,29,148.0,116.0,116.0,1.2758620689655173,21.62162162162162,0.0,0.0
4,GA-Train,BA,30,29,130.0,64.0,102.75,2.03125,20.961538461538463,5.205392837524414,-6.557377049180328
5,GA-Train,MOTIF_DIAMOND,6,6,58.0,50.0,50.0,1.16,13.793103448275861,0.0,0.0
6,GA-Train,ER,50,160,234.0,165.0,175.75,1.4181818181818182,24.89316239316239,4.648447036743164,-4.0
7,GA-Train,WS,30,41,122.0,108.0,108.0,1.1296296296296295,11.475409836065573,0.0,12.23021582733813
8,GA-Train,ER,30,85,173.0,146.0,146.0,1.1849315068493151,15.606936416184972,8.833885192871094,1.7045454545454544
9,GA-Train,BA,20,19,87.0,57.0,62.5,1.5263157894736843,28.160919540229884,0.0,-1.1627906976744187
10,GA-Train,BA,20,19,114.0,90.0,90.0,1.2666666666666666,21.052631578947366,0.0,-3.6363636363636362
11,GA-Train,ER,20,30,118.0,99.0,99.0,1.1919191919191918,16.101694915254235,5.896806716918945,0.0
0,GNN-Imitation,WS,30,43,148.0,114.0,114.0,1.2982456140350878,22.972972972972975,1.758575439453125,-1.36986301369863
1,GNN-Imitation,WS,20,32,113.0,86.0,86.0,1.313953488372093,23.893805309734514,0.0,0.0
2,GNN-Imitation,WS,30,42,124.0,72.0,108.0,1.7222222222222223,12.903225806451612,11.6729736328125,5.343511450381679
3,GNN-Imitation,BA,20,29,148.0,116.0,116.0,1.2758620689655173,21.62162162162162,3.1037330627441406,0.0
4,GNN-Imitation,BA,30,29,121.0,64.0,102.75,1.890625,15.082644628099173,5.106925964355469,0.819672131147541
5,GNN-Imitation,MOTIF_DIAMOND,6,6,58.0,50.0,50.0,1.16,13.793103448275861,2.0401477813720703,0.0
6,GNN-Imitation,ER,50,160,226.0,165.0,175.75,1.3696969696969696,22.234513274336283,9.227514266967773,-0.4444444444444444
7,GNN-Imitation,WS,30,41,124.0,108.0,108.0,1.1481481481481481,12.903225806451612,0.9987354278564453,10.79136690647482
8,GNN-Imitation,ER,30,85,176.0,146.0,146.0,1.2054794520547945,17.045454545454543,0.0,0.0
9,GNN-Imitation,BA,20,19,86.0,57.0,62.5,1.5087719298245614,27.325581395348834,8.085966110229492,0.0
10,GNN-Imitation,BA,20,19,112.0,90.0,90.0,1.2444444444444445,19.642857142857142,1.5320777893066406,-1.8181818181818181
11,GNN-Imitation,ER,20,30,118.0,99.0,99.0,1.1919191919191918,16.101694915254235,4.80198860168457,0.0
0,Decima-like-RL,WS,30,43,208.0,114.0,114.0,1.8245614035087718,45.19230769230769,3.242015838623047,-42.465753424657535
1,Decima-like-RL,WS,20,32,166.0,86.0,86.0,1.930232558139535,48.19277108433735,0.0,-46.902654867256636
2,Decima-like-RL,WS,30,42,168.0,72.0,108.0,2.3333333333333335,35.714285714285715,0.0,-28.24427480916031
3,Decima-like-RL,BA,20,29,160.0,116.0,116.0,1.3793103448275863,27.500000000000004,0.0,-8.108108108108109
4,Decima-like-RL,BA,30,29,176.0,64.0,102.75,2.75,41.61931818181818,7.968664169311523,-44.26229508196721
5,Decima-like-RL,MOTIF_DIAMOND,6,6,59.0,50.0,50.0,1.18,15.254237288135593,0.0,-1.7241379310344827
6,Decima-like-RL,ER,50,160,288.0,165.0,175.75,1.7454545454545454,38.97569444444444,7.72547721862793,-28.000000000000004
7,Decima-like-RL,WS,30,41,182.0,108.0,108.0,1.6851851851851851,40.65934065934066,0.0,-30.935251798561154
8,Decima-like-RL,ER,30,85,199.0,146.0,146.0,1.3630136986301369,26.633165829145728,6.578922271728516,-13.068181818181818
9,Decima-like-RL,BA,20,19,124.0,57.0,62.5,2.175438596491228,49.596774193548384,2.579927444458008,-44.18604651162791
10,Decima-like-RL,BA,20,19,132.0,90.0,90.0,1.4666666666666666,31.818181818181817,0.9984970092773438,-20.0
11,Decima-like-RL,ER,20,30,131.0,99.0,99.0,1.3232323232323233,24.427480916030532,3.0531883239746094,-11.016949152542372
