method,family,nodes,edges,makespan,slr,runtime_ms,motifs,ga_initial_best,ga_final_best,ga_improvement_pct
HEFT,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",,,
HEFT,ER,30,25,106.0,1.8275862068965518,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",,,
HEFT,ER,50,118,264.0,1.353846153846154,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",,,
HEFT,ER,20,16,76.0,1.1176470588235294,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",,,
HEFT,ER,30,59,153.0,1.3660714285714286,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",,,
HEFT,BA,50,85,209.0,1.5035971223021583,7.643461227416992,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",,,
HEFT,WS,30,44,151.0,1.4519230769230769,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",,,
HEFT,BA,30,45,260.0,1.244019138755981,2.028942108154297,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",,,
HEFT,WS,30,40,126.0,1.5365853658536586,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",,,
HEFT,BA,50,82,228.0,1.3987730061349692,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",,,
HEFT,ER,50,107,199.0,1.3819444444444444,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",,,
HEFT,ER,50,107,256.0,1.4883720930232558,7.579803466796875,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",,,
CPOP,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",,,
CPOP,ER,30,25,128.0,2.206896551724138,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",,,
CPOP,ER,50,118,291.0,1.4923076923076923,2.0525455474853516,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",,,
CPOP,ER,20,16,84.0,1.2352941176470589,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",,,
CPOP,ER,30,59,178.0,1.5892857142857142,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",,,
CPOP,BA,50,85,256.0,1.841726618705036,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",,,
CPOP,WS,30,44,204.0,1.9615384615384615,8.18014144897461,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",,,
CPOP,BA,30,45,260.0,1.244019138755981,1.5025138854980469,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",,,
CPOP,WS,30,40,164.0,2.0,0.4985332489013672,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",,,
CPOP,BA,50,82,275.0,1.687116564417178,3.431081771850586,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",,,
CPOP,ER,50,107,249.0,1.7291666666666667,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",,,
CPOP,ER,50,107,317.0,1.8430232558139534,4.82487678527832,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",,,
Greedy-EFT,MOTIF_JOIN,11,10,87.0,1.7755102040816326,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",,,
Greedy-EFT,ER,30,25,122.0,2.103448275862069,2.022981643676758,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",,,
Greedy-EFT,ER,50,118,266.0,1.3641025641025641,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",,,
Greedy-EFT,ER,20,16,86.0,1.2647058823529411,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",,,
Greedy-EFT,ER,30,59,165.0,1.4732142857142858,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",,,
Greedy-EFT,BA,50,85,217.0,1.5611510791366907,7.995128631591797,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",,,
Greedy-EFT,WS,30,44,156.0,1.5,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",,,
Greedy-EFT,BA,30,45,283.0,1.354066985645933,1.9254684448242188,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",,,
Greedy-EFT,WS,30,40,154.0,1.8780487804878048,2.7272701263427734,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",,,
Greedy-EFT,BA,50,82,253.0,1.5521472392638036,1.0101795196533203,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",,,
Greedy-EFT,ER,50,107,205.0,1.4236111111111112,4.6977996826171875,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",,,
Greedy-EFT,ER,50,107,260.0,1.5116279069767442,1.7726421356201172,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",,,
GNN-Imitation,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",,,
GNN-Imitation,ER,30,25,106.0,1.8275862068965518,6.765604019165039,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",,,
GNN-Imitation,ER,50,118,275.0,1.4102564102564104,3.736257553100586,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",,,
GNN-Imitation,ER,20,16,76.0,1.1176470588235294,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",,,
GNN-Imitation,ER,30,59,160.0,1.4285714285714286,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",,,
GNN-Imitation,BA,50,85,203.0,1.460431654676259,10.236024856567383,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",,,
GNN-Imitation,WS,30,44,151.0,1.4519230769230769,2.702951431274414,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",,,
GNN-Imitation,BA,30,45,260.0,1.244019138755981,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",,,
GNN-Imitation,WS,30,40,124.0,1.5121951219512195,5.703926086425781,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",,,
GNN-Imitation,BA,50,82,234.0,1.4355828220858895,2.2428035736083984,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",,,
GNN-Imitation,ER,50,107,206.0,1.4305555555555556,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",,,
GNN-Imitation,ER,50,107,255.0,1.4825581395348837,10.376214981079102,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",,,
Decima-like-RL,MOTIF_JOIN,11,10,74.0,1.510204081632653,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",,,
Decima-like-RL,ER,30,25,135.0,2.3275862068965516,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",,,
Decima-like-RL,ER,50,118,298.0,1.528205128205128,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",,,
Decima-like-RL,ER,20,16,95.0,1.3970588235294117,8.125543594360352,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",,,
Decima-like-RL,ER,30,59,179.0,1.5982142857142858,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",,,
Decima-like-RL,BA,50,85,275.0,1.9784172661870503,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",,,
Decima-like-RL,WS,30,44,176.0,1.6923076923076923,6.527900695800781,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",,,
Decima-like-RL,BA,30,45,262.0,1.2535885167464116,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",,,
Decima-like-RL,WS,30,40,156.0,1.9024390243902438,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",,,
Decima-like-RL,BA,50,82,271.0,1.6625766871165644,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",,,
Decima-like-RL,ER,50,107,243.0,1.6875,2.019643783569336,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",,,
Decima-like-RL,ER,50,107,296.0,1.7209302325581395,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",,,
GA,MOTIF_JOIN,11,10,64.0,1.3061224489795917,342.4046039581299,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}",66.0,64.0,3.03
GA,ER,30,25,97.0,1.6724137931034482,732.1999073028564,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}",106.0,97.0,8.49
GA,ER,50,118,231.0,1.1846153846153846,1731.7993640899658,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}",264.0,231.0,12.5
GA,ER,20,16,73.0,1.0735294117647058,483.2484722137451,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}",76.0,73.0,3.95
GA,ER,30,59,129.0,1.1517857142857142,991.5223121643066,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}",149.0,129.0,13.42
GA,BA,50,85,187.0,1.3453237410071943,1454.1592597961426,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}",209.0,187.0,10.53
GA,WS,30,44,133.0,1.2788461538461537,842.1802520751953,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}",151.0,133.0,11.92
GA,BA,30,45,251.0,1.200956937799043,887.2666358947754,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}",253.0,251.0,0.79
GA,WS,30,40,111.0,1.353658536585366,841.8128490447998,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}",126.0,111.0,11.9
GA,BA,50,82,209.0,1.2822085889570551,1477.6010513305664,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}",228.0,209.0,8.33
GA,ER,50,107,180.0,1.25,1688.7285709381104,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}",199.0,180.0,9.55
GA,ER,50,107,217.0,1.2616279069767442,1666.5070056915283,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}",254.0,217.0,14.57
